,City,Country,Max Temp,Latitude,Longitude,Hotel Name
476,Portobelo,PA,78.12,9.55,-79.65,Luna Llena Hostal
480,Camopi,GF,70.09,3.1655,-52.3158,Chez Lucia
481,Kulhudhuffushi,MV,81.09,6.6221,73.07,No hotel found
489,Puerto Ayacucho,VE,73.45,5.6639,-67.6236,Hotel VENETUR Amazonas
490,Magadi,IN,79.75,12.9667,77.2333,Udupi Upahara
495,Ballina,AU,79.79,-28.8667,153.5667,Ballina Beach Resort
498,Rakaia,NZ,70.38,-43.75,172.0167,No hotel found
499,Irece,BR,71.98,-11.3042,-41.8558,Hotel Caraíbas
500,Lamu,KE,80.82,-2.2717,40.902,Hotel Archipelago villa bed and breakfast
506,Pasighat,IN,72.61,28.0667,95.3333,Aane Hotel
509,Puerto Leguizamo,CO,70.57,-0.1934,-74.7819,Hotel Girasoles
515,Wad Rawah,SD,72.43,15.1603,33.1397,No hotel found
518,Namatanai,PG,82.17,-3.6667,152.4333,Namatanai Hotel
519,Labuhan,ID,86.36,-6.8844,112.2051,No hotel found
523,La Asuncion,VE,78.53,11.0333,-63.8628,Hotel La Ciudad
526,Santa Cruz Del Sur,CU,70.99,20.7147,-77.9956,No hotel found
528,Sapa,PH,82.02,5.1544,120.3241,No hotel found
529,Ariquemes,BR,73.56,-9.9133,-63.0408,Aquarius
537,Ouro Preto Do Oeste,BR,74.59,-10.7481,-62.2158,No hotel found
540,Harper,LR,77.68,4.375,-7.7169,No hotel found
542,La Macarena,CO,70.18,2.1837,-73.7849,Muñoz
